instance,time,encoding,answer,dataset,memory
results/Grid/Ratio_50/50-16-4,,cd06,,Grid-50,18312
results/Grid/Ratio_50/50-12-8,,d02,,Grid-50,68444
results/Grid/Ratio_50/50-16-7,,cd06,,Grid-50,18280
results/Grid/Ratio_50/50-19-6,,d02,,Grid-50,19444
results/Grid/Ratio_50/50-16-8,,sbk05,,Grid-50,67176
results/Grid/Ratio_50/50-10-2,,cd06,,Grid-50,71340
results/Grid/Ratio_50/50-16-5,,db20,,Grid-50,90268
results/Grid/Ratio_50/50-10-6,,d02,,Grid-50,77800
results/Grid/Ratio_50/50-17-4,,d02,,Grid-50,18588
results/Grid/Ratio_50/50-14-6,,d02,,Grid-50,29712
results/Grid/Ratio_50/50-19-1,,cd06,,Grid-50,19868
results/Grid/Ratio_50/50-20-1,,sbk05,,Grid-50,28568
results/Grid/Ratio_50/50-16-2,,cd05,,Grid-50,18640
results/Grid/Ratio_50/50-20-6,,d02,,Grid-50,20380
results/Grid/Ratio_50/50-14-6,,cd05,,Grid-50,40772
results/Grid/Ratio_50/50-16-3,,d02,,Grid-50,17808
results/Grid/Ratio_50/50-17-2,,sbk05,,Grid-50,49160
results/Grid/Ratio_50/50-18-4,,sbk05,,Grid-50,57424
results/Grid/Ratio_50/50-17-5,,cd06,,Grid-50,18992
results/Grid/Ratio_50/50-19-5,,d02,,Grid-50,19684
results/Grid/Ratio_50/50-16-4,,sbk05,,Grid-50,66844
results/Grid/Ratio_50/50-15-8,,d02,,Grid-50,17928
results/Grid/Ratio_50/50-18-3,,cd06,,Grid-50,19344
results/Grid/Ratio_50/50-14-6,,sbk05,,Grid-50,74072
results/Grid/Ratio_50/50-12-10,,cd05,,Grid-50,53428
results/Grid/Ratio_50/50-16-7,,cd05,,Grid-50,18372
results/Grid/Ratio_50/50-14-5,,db20,,Grid-50,92412
results/Grid/Ratio_50/50-20-6,,cd05,,Grid-50,35628
results/Grid/Ratio_50/50-19-3,,cd06,,Grid-50,35460
results/Grid/Ratio_50/50-15-3,,cd05,,Grid-50,19864
results/Grid/Ratio_50/50-19-6,,sbk05,,Grid-50,33128
results/Grid/Ratio_50/50-18-10,,d02,,Grid-50,19364
results/Grid/Ratio_50/50-12-3,0.623,db20,0.370571,Grid-50,51740
results/Grid/Ratio_50/50-15-5,,db20,,Grid-50,86040
results/Grid/Ratio_50/50-17-7,,sbk05,,Grid-50,54940
results/Grid/Ratio_50/50-17-1,,cd05,,Grid-50,18844
results/Grid/Ratio_50/50-14-4,,cd05,,Grid-50,30320
results/Grid/Ratio_50/50-14-3,,cd05,,Grid-50,30572
results/Grid/Ratio_50/50-14-7,,d02,,Grid-50,26016
results/Grid/Ratio_50/50-14-3,,d02,,Grid-50,35752
results/Grid/Ratio_50/50-20-3,,d02,,Grid-50,20260
results/Grid/Ratio_50/50-12-9,0.43,db20,0.46471,Grid-50,48092
results/Grid/Ratio_50/50-10-4,,cd05,,Grid-50,53964
results/Grid/Ratio_50/50-12-9,,cd06,,Grid-50,65552
results/Grid/Ratio_50/50-20-8,,cd05,,Grid-50,35676
results/Grid/Ratio_50/50-20-4,,db20,,Grid-50,83620
results/Grid/Ratio_50/50-12-7,,d02,,Grid-50,44180
results/Grid/Ratio_50/50-12-2,,cd06,,Grid-50,62824
results/Grid/Ratio_50/50-20-8,,db20,,Grid-50,81288
results/Grid/Ratio_50/50-12-4,,d02,,Grid-50,40024
results/Grid/Ratio_50/50-14-9,,d02,,Grid-50,25412
results/Grid/Ratio_50/50-17-9,,cd05,,Grid-50,18960
results/Grid/Ratio_50/50-15-1,,sbk05,,Grid-50,47212
results/Grid/Ratio_50/50-15-10,,cd05,,Grid-50,18592
results/Grid/Ratio_50/50-17-3,,cd05,,Grid-50,18964
results/Grid/Ratio_50/50-10-2,,d02,0.694274,Grid-50,75040
results/Grid/Ratio_50/50-19-10,,cd06,,Grid-50,35620
results/Grid/Ratio_50/50-16-10,,sbk05,,Grid-50,65072
results/Grid/Ratio_50/50-10-1,,cd05,,Grid-50,69904
results/Grid/Ratio_50/50-16-2,,sbk05,,Grid-50,48968
results/Grid/Ratio_50/50-16-9,,db20,,Grid-50,78280
results/Grid/Ratio_50/50-16-5,,cd06,,Grid-50,18504
results/Grid/Ratio_50/50-18-9,,cd05,,Grid-50,19156
results/Grid/Ratio_50/50-19-5,,sbk05,,Grid-50,33264
results/Grid/Ratio_50/50-17-10,,cd06,,Grid-50,18940
results/Grid/Ratio_50/50-20-8,,cd06,,Grid-50,35680
results/Grid/Ratio_50/50-18-7,,sbk05,,Grid-50,37124
results/Grid/Ratio_50/50-18-10,,db20,,Grid-50,77008
results/Grid/Ratio_50/50-15-5,,d02,,Grid-50,38028
results/Grid/Ratio_50/50-18-2,,db20,,Grid-50,85256
results/Grid/Ratio_50/50-12-8,0.595,db20,0.248799,Grid-50,51032
results/Grid/Ratio_50/50-12-5,,sbk05,,Grid-50,72356
results/Grid/Ratio_50/50-12-4,0.436,db20,0.605223,Grid-50,40728
results/Grid/Ratio_50/50-15-10,,d02,,Grid-50,33112
results/Grid/Ratio_50/50-10-1,0.612,sbk05,0.530158,Grid-50,50908
results/Grid/Ratio_50/50-18-8,,cd05,,Grid-50,19296
results/Grid/Ratio_50/50-15-2,,d02,,Grid-50,17592
results/Grid/Ratio_50/50-20-7,,d02,,Grid-50,20064
results/Grid/Ratio_50/50-20-7,,db20,,Grid-50,74684
results/Grid/Ratio_50/50-15-9,,cd06,,Grid-50,27384
results/Grid/Ratio_50/50-14-10,,d02,,Grid-50,41316
results/Grid/Ratio_50/50-19-5,,cd05,,Grid-50,35508
results/Grid/Ratio_50/50-17-1,,d02,,Grid-50,18560
results/Grid/Ratio_50/50-14-3,,db20,,Grid-50,83812
results/Grid/Ratio_50/50-10-8,,cd06,,Grid-50,74712
results/Grid/Ratio_50/50-12-1,,cd06,,Grid-50,40040
results/Grid/Ratio_50/50-19-4,,cd05,,Grid-50,35596
results/Grid/Ratio_50/50-15-8,,db20,,Grid-50,85976
results/Grid/Ratio_50/50-12-10,0.351,db20,0.629836,Grid-50,35352
results/Grid/Ratio_50/50-12-10,,d02,,Grid-50,67944
results/Grid/Ratio_50/50-16-2,,cd06,,Grid-50,18608
results/Grid/Ratio_50/50-12-2,0.34,db20,0.549435,Grid-50,38768
results/Grid/Ratio_50/50-12-2,,d02,,Grid-50,69988
results/Grid/Ratio_50/50-12-6,,cd06,,Grid-50,51208
results/Grid/Ratio_50/50-15-10,,cd06,,Grid-50,20508
results/Grid/Ratio_50/50-20-9,,cd05,,Grid-50,35532
