ratio,answer,memory,time,instance,encoding
50,,,,50-18-5-q.cnf,sang
50,,,,50-16-2-q.cnf,sang
50,,,,50-20-10-q.cnf,sang
50,,,,50-18-10-q.cnf,sang
50,,,,50-18-7-q.cnf,sang
50,,,,50-14-3-q.cnf,sang
50,0.629836,144936,3.009,50-12-10-q.cnf,sang
50,,,,50-18-1-q.cnf,sang
50,0.437354,31480,0.226,50-10-3-q.cnf,sang
50,,,,50-18-9-q.cnf,sang
50,0.622431,273748,34.502,50-14-5-q.cnf,sang
50,0.605223,144132,3.004,50-12-4-q.cnf,sang
50,0.46471,202548,5.346,50-12-9-q.cnf,sang
50,,,,50-16-5-q.cnf,sang
50,,,,50-16-3-q.cnf,sang
50,,,,50-18-4-q.cnf,sang
50,0.914701,51556,0.841,50-10-10-q.cnf,sang
50,,,,50-16-10-q.cnf,sang
50,0.248799,184396,5.547,50-12-8-q.cnf,sang
50,0.435196,282880,44.979,50-12-7-q.cnf,sang
50,,,,50-18-8-q.cnf,sang
50,,,,50-14-6-q.cnf,sang
50,,,,50-14-10-q.cnf,sang
50,,,,50-20-7-q.cnf,sang
50,0.58165,255704,20.246,50-14-9-q.cnf,sang
50,0.530158,32516,0.407,50-10-1-q.cnf,sang
50,,,,50-20-9-q.cnf,sang
50,0.611607,25368,0.257,50-10-4-q.cnf,sang
50,0.306238,270116,12.127,50-14-1-q.cnf,sang
50,0.434619,259048,26.507,50-14-7-q.cnf,sang
50,0.549435,265608,8.596,50-12-2-q.cnf,sang
50,0.611806,257728,18.173,50-12-6-q.cnf,sang
50,0.506807,24244,0.179,50-10-6-q.cnf,sang
50,0.675352,151196,1.891,50-12-1-q.cnf,sang
50,,,,50-20-3-q.cnf,sang
50,0.694274,100128,1.66,50-10-2-q.cnf,sang
50,0.280401,20476,0.253,50-10-8-q.cnf,sang
50,,,,50-20-2-q.cnf,sang
50,,,,50-14-4-q.cnf,sang
50,0.606353,263280,18.351,50-12-5-q.cnf,sang
50,0.479913,20392,0.125,50-10-9-q.cnf,sang
50,,,,50-20-5-q.cnf,sang
50,,,,50-18-3-q.cnf,sang
50,,,,50-16-7-q.cnf,sang
50,,,,50-16-9-q.cnf,sang
50,0.518846,167132,2.946,50-10-5-q.cnf,sang
50,,,,50-16-1-q.cnf,sang
50,0.150891,259696,15.236,50-14-8-q.cnf,sang
50,0.781862,264552,9.108,50-14-2-q.cnf,sang
50,,,,50-20-6-q.cnf,sang
50,,,,50-18-2-q.cnf,sang
50,,,,50-16-4-q.cnf,sang
50,,,,50-20-1-q.cnf,sang
50,0.370571,179520,4.005,50-12-3-q.cnf,sang
50,,,,50-16-8-q.cnf,sang
50,,,,50-20-8-q.cnf,sang
50,0.474714,98288,2.101,50-10-7-q.cnf,sang
50,,,,50-16-6-q.cnf,sang
50,,,,50-18-6-q.cnf,sang
50,,,,50-20-4-q.cnf,sang
75,,,,75-24-8-q.cnf,sang
75,,,,75-22-1-q.cnf,sang
75,,,,75-20-5-q.cnf,sang
75,,,,75-22-4-q.cnf,sang
75,,,,75-16-2-q.cnf,sang
75,0.411759,56488,1.205,75-14-5-q.cnf,sang
75,0.799152,273288,25.616,75-16-1-q.cnf,sang
75,,,,75-26-4-q.cnf,sang
75,0.506237,263580,11.553,75-15-2-q.cnf,sang
75,0.864765,339744,37.918,75-15-3-q.cnf,sang
75,,,,75-26-1-q.cnf,sang
75,,,,75-23-2-q.cnf,sang
75,0.132673,24516,0.331,75-12-4-q.cnf,sang
75,0.810822,249264,18.141,75-18-5-q.cnf,sang
75,0.523186,150380,3.644,75-18-1-q.cnf,sang
