encoding_time,inference_time,novelty,dataset,answer,instance,encoding
1.95,1284.17,new,Grid-50,,results/Grid/Ratio_50/50-14-4.dne,d02
15.27,138.72,old,Grid-50,0.7186442,results/Grid/Ratio_50/50-18-3.dne,bklm16
1005.56,42.28,old,Grid-50,0.7790326127670166,results/Grid/Ratio_50/50-19-5.dne,d02
6.2,2.41,old,Grid-50,0.5494348920402363,results/Grid/Ratio_50/50-12-2.dne,d02
1.49,1011.3,old,Grid-50,,results/Grid/Ratio_50/50-17-8.dne,sbk05
2.04,1006.2,new,Grid-50,,results/Grid/Ratio_50/50-19-5.dne,sbk05
1.45,1001.12,old,Grid-50,,results/Grid/Ratio_50/50-16-5.dne,sbk05
1.11,0.16,new,Grid-50,0.280401,results/Grid/Ratio_50/50-10-8.dne,sbk05
1.81,1002.04,new,Grid-50,,results/Grid/Ratio_50/50-16-10.dne,sbk05
0.11,1004.95,new,Grid-50,,results/Grid/Ratio_50/50-20-1.dne,bklm16
2.48,1004.77,new,Grid-50,,results/Grid/Ratio_50/50-20-1.dne,cd06
0.74,0.43,new,Grid-50,0.150891,results/Grid/Ratio_50/50-14-8.dne,cw
2.16,1.51,old,Grid-50,0.506806417781919,results/Grid/Ratio_50/50-10-6.dne,d02
0.34,27.35,new,Grid-50,0.00818237,results/Grid/Ratio_50/50-17-3.dne,cw
2.11,1002.68,new,Grid-50,,results/Grid/Ratio_50/50-19-4.dne,cd05
702.65,40.77,old,Grid-50,0.5055179899407414,results/Grid/Ratio_50/50-17-4.dne,d02
0.1,1005.42,new,Grid-50,,results/Grid/Ratio_50/50-17-10.dne,bklm16
0.1,0.48,new,Grid-50,0.46471,results/Grid/Ratio_50/50-12-9.dne,cw
6.34,36.26,old,Grid-50,0.1550163,results/Grid/Ratio_50/50-15-4.dne,bklm16
1.76,1005.84,old,Grid-50,,results/Grid/Ratio_50/50-16-10.dne,sbk05
1.52,1.12,old,Grid-50,0.5188462148537568,results/Grid/Ratio_50/50-10-5.dne,d02
0.25,7.61,new,Grid-50,0.780937,results/Grid/Ratio_50/50-14-4.dne,cw
1.39,1.22,old,Grid-50,0.5188462148537567,results/Grid/Ratio_50/50-10-5.dne,cd05
2.21,1002.11,new,Grid-50,,results/Grid/Ratio_50/50-20-9.dne,cd05
43.84,283.23,old,Grid-50,,results/Grid/Ratio_50/50-18-2.dne,bklm16
807.47,53.89,old,Grid-50,0.4550497831048493,results/Grid/Ratio_50/50-18-6.dne,d02
