instance,novelty,width,dataset,inference_time,encoding,encoding_time,answer
results/original/Grid/Ratio_50/50-14-4.dne,new,19,Grid-50,14.406,d02,1.71,0
results/original/Grid/Ratio_50/50-18-3.dne,old,,Grid-50,143.16,bklm16,16.59,0.7186442
results/original/Grid/Ratio_50/50-19-5.dne,old,,Grid-50,30.39,d02,1497.82,0.7790326127670166
results/original/Grid/Ratio_50/50-12-2.dne,old,,Grid-50,1.84,d02,5.17,0.5494348920402362
results/original/Grid/Ratio_50/50-17-8.dne,old,,Grid-50,1173.01,sbk05,1.95,
results/original/Grid/Ratio_50/50-19-5.dne,new,21,Grid-50,12.302,sbk05,2.26,0
results/original/Grid/Ratio_50/50-16-5.dne,old,,Grid-50,1563.87,sbk05,1.75,
results/original/Grid/Ratio_50/50-10-8.dne,new,14,Grid-50,11.561,sbk05,1.81,0
results/original/Grid/Ratio_50/50-16-10.dne,new,23,Grid-50,11.308,sbk05,1.66,0
results/original/Grid/Ratio_50/50-20-1.dne,new,1241,Grid-50,,bklm16,0.22,
results/original/Grid/Ratio_50/50-20-1.dne,new,50,Grid-50,11.609,cd06,2.46,0
results/original/Grid/Ratio_50/50-14-8.dne,new,17,Grid-50,16.505,cw,0.19,0.150891
results/original/Grid/Ratio_50/50-10-6.dne,old,,Grid-50,1.62,d02,2.92,0.5068064177819191
results/original/Grid/Ratio_50/50-17-3.dne,new,,Grid-50,,cw,0.1,
results/original/Grid/Ratio_50/50-19-4.dne,new,44,Grid-50,12.561,cd05,1.93,0
results/original/Grid/Ratio_50/50-17-4.dne,old,,Grid-50,29.27,d02,606.37,0.5055179899407413
results/original/Grid/Ratio_50/50-17-10.dne,new,967,Grid-50,,bklm16,0.24,
results/original/Grid/Ratio_50/50-12-9.dne,new,14,Grid-50,11.366,cw,0.16,0.46471
results/original/Grid/Ratio_50/50-15-4.dne,old,,Grid-50,13.99,bklm16,7.17,0.1550163
results/original/Grid/Ratio_50/50-16-10.dne,old,,Grid-50,1664.05,sbk05,1.74,
