encoding,answer,dataset,add_width,inference_time,encoding_time,instance,treewidth,novelty
d02,0.780937,Grid-50,20,2.87,1.03,results/Grid/Ratio_50/50-14-4.dne,18,new
bklm16pp,0.15089,Grid-50,15,0.1,0.09,results/Grid/Ratio_50/50-14-8.dne,18,new
bklm16,,Grid-50,,420.46,28.92,results/Grid/Ratio_50/50-18-3.dne,20,old
d02,0.7790326127670166,Grid-50,,88.86,1001.85,results/Grid/Ratio_50/50-19-5.dne,23,old
d02,0.5494348920402362,Grid-50,,1.91,3.16,results/Grid/Ratio_50/50-12-2.dne,16,old
sbk05,,Grid-50,,1000.07,1.67,results/Grid/Ratio_50/50-17-8.dne,24,old
cd06pp,0.611807,Grid-50,30,0.54,1.28,results/Grid/Ratio_50/50-12-6.dne,15,new
sbk05,0.779034,Grid-50,23,40.56,2.0,results/Grid/Ratio_50/50-19-5.dne,23,new
sbk05,,Grid-50,,1000.09,1.14,results/Grid/Ratio_50/50-16-5.dne,22,old
sbk05,0.280401,Grid-50,14,0.06,0.94,results/Grid/Ratio_50/50-10-8.dne,13,new
d02pp,0.348438,Grid-50,19,1.31,1.58,results/Grid/Ratio_50/50-14-6.dne,15,new
cd05pp,0.302465,Grid-50,40,49.77,1.79,results/Grid/Ratio_50/50-16-3.dne,20,new
sbk05,0.289615,Grid-50,18,2.85,1.15,results/Grid/Ratio_50/50-16-10.dne,22,new
bklm16,0.587864,Grid-50,25,15.92,0.08,results/Grid/Ratio_50/50-20-1.dne,22,new
d02,0.506806417781919,Grid-50,,1.12,1.53,results/Grid/Ratio_50/50-10-6.dne,14,old
cd05pp,0.467563,Grid-50,45,62.22,1.76,results/Grid/Ratio_50/50-18-7.dne,23,new
d02,0.5055179899407414,Grid-50,,20.0,200.42000000000002,results/Grid/Ratio_50/50-17-4.dne,23,old
bklm16,0.470058,Grid-50,21,2.24,0.09,results/Grid/Ratio_50/50-17-10.dne,19,new
bklm16,0.1550163,Grid-50,,12.89,3.38,results/Grid/Ratio_50/50-15-4.dne,17,old
sbk05,,Grid-50,,1000.03,1.17,results/Grid/Ratio_50/50-16-10.dne,22,old
d02,0.5188462148537566,Grid-50,,0.99,1.15,results/Grid/Ratio_50/50-10-5.dne,12,old
d02pp,0.721908,Grid-50,24,50.36,1.59,results/Grid/Ratio_50/50-19-9.dne,25,new
cd05,0.5188462148537567,Grid-50,,0.94,1.01,results/Grid/Ratio_50/50-10-5.dne,12,old
bklm16,,Grid-50,,393.14,20.59,results/Grid/Ratio_50/50-18-2.dne,23,old
d02,0.45504978310484934,Grid-50,,26.88,324.03,results/Grid/Ratio_50/50-18-6.dne,21,old
bklm16,0.6224303,Grid-50,,42.86,4.47,results/Grid/Ratio_50/50-14-5.dne,19,old
sbk05,0.302464,Grid-50,22,18.53,1.61,results/Grid/Ratio_50/50-16-3.dne,20,new
sbk05,,Grid-50,,1000.11,1.3,results/Grid/Ratio_50/50-17-2.dne,18,old
cd05pp,,Grid-50,44,796.68,1.54,results/Grid/Ratio_50/50-16-7.dne,22,new
d02,0.622431,Grid-50,17,2.55,1.54,results/Grid/Ratio_50/50-14-5.dne,19,new
bklm16,,Grid-50,,349.90999999999997,120.09,results/Grid/Ratio_50/50-20-6.dne,28,old
bklm16,0.6298357,Grid-50,,17.78,3.19,results/Grid/Ratio_50/50-12-10.dne,16,old
d02,0.308975,Grid-50,21,2.49,1.49,results/Grid/Ratio_50/50-14-10.dne,16,new
sbk05,,Grid-50,,1000.05,2.09,results/Grid/Ratio_50/50-20-10.dne,24,old
cd06pp,0.305003,Grid-50,37,26.99,1.21,results/Grid/Ratio_50/50-14-3.dne,19,new
cd06pp,0.459325,Grid-50,37,5.66,1.6,results/Grid/Ratio_50/50-15-10.dne,16,new
cd06,0.280400522661682,Grid-50,,0.9,1.33,results/Grid/Ratio_50/50-10-8.dne,13,old
d02,0.464709,Grid-50,14,0.3,1.24,results/Grid/Ratio_50/50-12-9.dne,16,new
d02,0.6942742944311,Grid-50,,1.33,1.82,results/Grid/Ratio_50/50-10-2.dne,13,old
d02,0.479913,Grid-50,12,0.14,1.14,results/Grid/Ratio_50/50-10-9.dne,11,new
bklm16pp,0.545769,Grid-50,18,0.39,0.1,results/Grid/Ratio_50/50-15-6.dne,21,new
cd05,0.2896150116159837,Grid-50,,8.45,26.4,results/Grid/Ratio_50/50-16-10.dne,22,old
cd06,,Grid-50,,0.9,1004.66,results/Grid/Ratio_50/50-20-2.dne,23,old
bklm16pp,0.920176,Grid-50,23,9.4,0.14,results/Grid/Ratio_50/50-20-3.dne,22,new
sbk05,0.549435,Grid-50,15,0.18,1.1,results/Grid/Ratio_50/50-12-2.dne,16,new
d02,0.229067,Grid-50,25,22.71,1.42,results/Grid/Ratio_50/50-17-5.dne,23,new
d02,0.1508905062941439,Grid-50,,15.7,125.84,results/Grid/Ratio_50/50-14-8.dne,18,old
cd06,0.34872953737834156,Grid-50,,55.86,734.77,results/Grid/Ratio_50/50-20-8.dne,22,old
bklm16,0.348438,Grid-50,17,0.96,0.09,results/Grid/Ratio_50/50-14-6.dne,15,new
sbk05,,Grid-50,,1000.11,1.47,results/Grid/Ratio_50/50-16-7.dne,22,old
cd06pp,0.549435,Grid-50,30,2.08,1.18,results/Grid/Ratio_50/50-12-2.dne,16,new
d02,0.8785580790584717,Grid-50,,33.59,1001.14,results/Grid/Ratio_50/50-19-1.dne,24,old
d02pp,0.694274,Grid-50,12,0.05,0.83,results/Grid/Ratio_50/50-10-2.dne,13,new
d02,0.332055,Grid-50,21,9.08,1.62,results/Grid/Ratio_50/50-16-2.dne,22,new
cd05,0.4550497831048492,Grid-50,,37.51,359.37,results/Grid/Ratio_50/50-18-6.dne,21,old
cd06,0.15393187898368713,Grid-50,,15.44,91.18,results/Grid/Ratio_50/50-18-8.dne,25,old
d02,0.5061328124191316,Grid-50,,11.52,871.31,results/Grid/Ratio_50/50-16-1.dne,18,old
d02,0.933382,Grid-50,24,48.31,1.61,results/Grid/Ratio_50/50-19-4.dne,27,new
bklm16,0.4747139,Grid-50,,1.38,1.45,results/Grid/Ratio_50/50-10-7.dne,14,old
d02,0.586291,Grid-50,23,116.05,1.94,results/Grid/Ratio_50/50-18-5.dne,25,new
d02pp,0.549435,Grid-50,16,0.17,1.24,results/Grid/Ratio_50/50-12-2.dne,16,new
sbk05,0.606353,Grid-50,15,0.18,0.86,results/Grid/Ratio_50/50-12-5.dne,16,new
sbk05,0.507936,Grid-50,27,319.45,2.12,results/Grid/Ratio_50/50-19-3.dne,27,new
bklm16,0.789422,Grid-50,19,1.44,0.08,results/Grid/Ratio_50/50-17-2.dne,18,new
cd06pp,0.586291,Grid-50,47,847.87,1.72,results/Grid/Ratio_50/50-18-5.dne,25,new
bklm16pp,0.883921,Grid-50,22,4.51,0.11,results/Grid/Ratio_50/50-18-10.dne,25,new
cd06,0.5301577110433704,Grid-50,,1.05,1.27,results/Grid/Ratio_50/50-10-1.dne,13,old
cd05pp,,Grid-50,42,1001.29,1.62,results/Grid/Ratio_50/50-17-10.dne,19,new
cd05pp,0.914701,Grid-50,27,0.15,1.14,results/Grid/Ratio_50/50-10-10.dne,13,new
cd05,0.5457678232093367,Grid-50,,8.07,26.77,results/Grid/Ratio_50/50-15-6.dne,21,old
cd06pp,0.43462,Grid-50,35,2.95,1.51,results/Grid/Ratio_50/50-14-7.dne,15,new
bklm16pp,0.631182,Grid-50,18,0.31,0.08,results/Grid/Ratio_50/50-15-2.dne,21,new
bklm16pp,0.216836,Grid-50,19,0.47,0.11,results/Grid/Ratio_50/50-15-9.dne,18,new
bklm16,0.171914,Grid-50,21,3.31,0.09,results/Grid/Ratio_50/50-17-8.dne,24,new
bklm16,0.280401,Grid-50,14,0.08,0.07,results/Grid/Ratio_50/50-10-8.dne,13,new
d02,,Grid-50,32,1001.69,1.74,results/Grid/Ratio_50/50-20-7.dne,22,new
d02pp,0.302465,Grid-50,23,18.39,1.78,results/Grid/Ratio_50/50-16-3.dne,20,new
sbk05,,Grid-50,,1000.11,1.41,results/Grid/Ratio_50/50-14-2.dne,15,old
