instance,novelty,width,dataset,inference_time,encoding,encoding_time,answer
results/trimmed/Grid/Ratio_50/50-18-3.dne,old,,Grid-50,344.27,bklm16,30.49,
results/trimmed/Grid/Ratio_50/50-18-2.dne,old,,Grid-50,370.46,bklm16,45.89,
results/trimmed/Grid/Ratio_50/50-18-6.dne,old,,Grid-50,16.03,d02,184.46,0.4550497831048492
results/trimmed/Grid/Ratio_50/50-14-5.dne,old,,Grid-50,70.43,bklm16,10.17,0.6224303
results/trimmed/Grid/Ratio_50/50-16-3.dne,new,23,Grid-50,11.449,sbk05,1.71,0
results/trimmed/Grid/Ratio_50/50-14-5.dne,new,19,Grid-50,11.654,d02,1.99,0
results/trimmed/Grid/Ratio_50/50-10-9.dne,new,14,Grid-50,11.311,d02,1.47,0
results/trimmed/Grid/Ratio_50/50-10-9.dne,new,24,Grid-50,11.192,cd06,1.49,0
results/trimmed/Grid/Ratio_50/50-20-2.dne,old,,Grid-50,40.38,cd06,609.95,
results/trimmed/Grid/Ratio_50/50-20-3.dne,new,47,Grid-50,12.322,cd06,2.3,0
results/trimmed/Grid/Ratio_50/50-14-6.dne,new,566,Grid-50,,bklm16,0.18,
results/trimmed/Grid/Ratio_50/50-18-6.dne,old,,Grid-50,37.59,cd05,415.39,0.45504978310484934
results/trimmed/Grid/Ratio_50/50-19-3.dne,new,44,Grid-50,11.873,cd05,2.64,0
results/trimmed/Grid/Ratio_50/50-10-7.dne,old,,Grid-50,1.51,bklm16,2.8,0.4747139
results/trimmed/Grid/Ratio_50/50-19-3.dne,new,21,Grid-50,11.364,sbk05,1.86,0
results/trimmed/Grid/Ratio_50/50-20-5.dne,new,51,Grid-50,12.236,cd06,2.44,0
results/trimmed/Grid/Ratio_50/50-20-3.dne,new,24,Grid-50,11.971,d02,2.15,0
results/trimmed/Grid/Ratio_50/50-10-7.dne,new,26,Grid-50,12.836,cd05,1.55,0
results/trimmed/Grid/Ratio_50/50-14-5.dne,new,35,Grid-50,11.243,cd05,1.58,0
results/trimmed/Grid/Ratio_50/50-12-8.dne,old,,Grid-50,1462.6,sbk05,1.84,
results/trimmed/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,1324.9,sbk05,1.56,
results/trimmed/Grid/Ratio_50/50-20-5.dne,old,,Grid-50,73.48,cd06,1021.46,
results/trimmed/Grid/Ratio_50/50-15-10.dne,new,37,Grid-50,11.191,cd06,1.88,0
results/trimmed/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,4.66,bklm16,2.49,0.4799129
results/trimmed/Grid/Ratio_50/50-15-5.dne,new,739,Grid-50,,bklm16,0.2,
results/trimmed/Grid/Ratio_50/50-19-3.dne,new,45,Grid-50,12.139,cd06,2.15,0
results/trimmed/Grid/Ratio_50/50-14-1.dne,new,662,Grid-50,,bklm16,0.19,
results/trimmed/Grid/Ratio_50/50-12-4.dne,new,34,Grid-50,15.675,cd05,5.76,0
results/trimmed/Grid/Ratio_50/50-15-9.dne,new,21,Grid-50,13.882,cw,0.27,0.216835
results/trimmed/Grid/Ratio_50/50-14-6.dne,old,,Grid-50,2.58,d02,12.05,0.34843751191705297
results/trimmed/Grid/Ratio_50/50-18-6.dne,new,957,Grid-50,,bklm16,0.22,
results/trimmed/Grid/Ratio_50/50-20-3.dne,old,,Grid-50,1.32,cd05,1086.64,
results/trimmed/Grid/Ratio_50/50-14-1.dne,new,17,Grid-50,15.454,cw,0.18,0.306238
results/trimmed/Grid/Ratio_50/50-19-8.dne,new,21,Grid-50,11.581,sbk05,2.03,0
results/trimmed/Grid/Ratio_50/50-18-6.dne,old,,Grid-50,7.94,cd06,55.44,0.4550497831048492
results/trimmed/Grid/Ratio_50/50-14-5.dne,old,,Grid-50,25.21,d02,236.42000000000002,0.6224305710996484
results/trimmed/Grid/Ratio_50/50-12-8.dne,old,,Grid-50,1.97,cd06,3.54,0.2487989833569764
results/trimmed/Grid/Ratio_50/50-15-5.dne,old,,Grid-50,3.27,cd06,9.37,0.7040722087762589
results/trimmed/Grid/Ratio_50/50-15-9.dne,old,,Grid-50,5.89,cd05,31.72,0.2168354746214625
results/trimmed/Grid/Ratio_50/50-14-6.dne,new,17,Grid-50,13.44,cw,0.17,0.348438
results/trimmed/Grid/Ratio_50/50-15-9.dne,old,,Grid-50,3.92,cd06,17.57,0.21683547462146255
results/trimmed/Grid/Ratio_50/50-12-3.dne,new,479,Grid-50,1014.61,bklm16,0.18,0
results/trimmed/Grid/Ratio_50/50-16-3.dne,new,20,Grid-50,19.637,cw,0.22,0.302464
results/trimmed/Grid/Ratio_50/50-12-4.dne,old,,Grid-50,1075.55,sbk05,1.57,
results/trimmed/Grid/Ratio_50/50-19-8.dne,new,44,Grid-50,12.166,cd06,2.1,0
results/trimmed/Grid/Ratio_50/50-14-7.dne,old,,Grid-50,,sbk05,1.47,
results/trimmed/Grid/Ratio_50/50-14-5.dne,old,,Grid-50,3.63,cd05,19.45,0.6224305710996486
results/trimmed/Grid/Ratio_50/50-16-3.dne,old,,Grid-50,6.02,cd06,24.2,0.3024648408701365
results/trimmed/Grid/Ratio_50/50-18-4.dne,new,1034,Grid-50,,bklm16,0.2,
results/trimmed/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,1.56,cd05,1.94,0.4799127162686743
results/trimmed/Grid/Ratio_50/50-14-5.dne,new,675,Grid-50,,bklm16,0.2,
results/trimmed/Grid/Ratio_50/50-18-3.dne,old,,Grid-50,1262.81,sbk05,1.93,
results/trimmed/Grid/Ratio_50/50-10-9.dne,new,14,Grid-50,11.207,sbk05,1.51,0
results/trimmed/Grid/Ratio_50/50-20-2.dne,new,50,Grid-50,12.753,cd06,2.1,0
results/trimmed/Grid/Ratio_50/50-18-2.dne,new,973,Grid-50,,bklm16,0.33,
results/trimmed/Grid/Ratio_50/50-18-2.dne,new,25,Grid-50,77.889,cw,0.14,0.869726
results/trimmed/Grid/Ratio_50/50-18-6.dne,new,23,Grid-50,11.38,sbk05,1.96,0
results/trimmed/Grid/Ratio_50/50-14-1.dne,new,20,Grid-50,11.367,d02,1.78,0
results/trimmed/Grid/Ratio_50/50-12-4.dne,new,,Grid-50,,cd06,2.37,
results/trimmed/Grid/Ratio_50/50-12-8.dne,new,473,Grid-50,,bklm16,0.23,
results/trimmed/Grid/Ratio_50/50-15-10.dne,old,,Grid-50,4.49,cd05,13.74,0.45932531981285873
results/trimmed/Grid/Ratio_50/50-15-9.dne,new,,Grid-50,,cd06,1.94,
results/trimmed/Grid/Ratio_50/50-15-5.dne,old,,Grid-50,127.07,bklm16,14.11,0.704075
results/trimmed/Grid/Ratio_50/50-15-10.dne,new,21,Grid-50,16.947,cw,0.19,0.459326
results/trimmed/Grid/Ratio_50/50-19-3.dne,new,1200,Grid-50,,bklm16,0.21,
results/trimmed/Grid/Ratio_50/50-20-5.dne,new,24,Grid-50,12.097,d02,2.3,0
results/trimmed/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,1.42,cd06,1.86,0.4799127162686743
results/trimmed/Grid/Ratio_50/50-10-10.dne,old,,Grid-50,1.68,bklm16,2.35,0.9147019
results/trimmed/Grid/Ratio_50/50-19-8.dne,old,,Grid-50,48.56,cd06,430.05,0.2108485098420413
results/trimmed/Grid/Ratio_50/50-12-4.dne,old,,Grid-50,7.44,d02,57.46,0.6052231705236966
results/trimmed/Grid/Ratio_50/50-20-3.dne,old,,Grid-50,342.39,bklm16,159.61,
results/trimmed/Grid/Ratio_50/50-15-9.dne,new,42,Grid-50,11.558,cd05,1.79,0
results/trimmed/Grid/Ratio_50/50-18-3.dne,new,24,Grid-50,91.447,cw,0.24,0.718645
results/trimmed/Grid/Ratio_50/50-18-6.dne,new,24,Grid-50,76.053,cw,0.23,0.45505
results/trimmed/Grid/Ratio_50/50-18-3.dne,old,,Grid-50,36.81,d02,563.14,0.7186449505592198
results/trimmed/Grid/Ratio_50/50-18-3.dne,new,44,Grid-50,11.789,cd06,2.19,0
results/trimmed/Grid/Ratio_50/50-19-8.dne,new,21,Grid-50,11.914,d02,2.14,0
results/trimmed/Grid/Ratio_50/50-15-10.dne,new,686,Grid-50,,bklm16,0.21,
results/trimmed/Grid/Ratio_50/50-14-7.dne,new,35,Grid-50,11.454,cd06,1.82,0
results/trimmed/Grid/Ratio_50/50-12-8.dne,old,,Grid-50,2.04,d02,5.92,0.2487989833569763
results/trimmed/Grid/Ratio_50/50-16-3.dne,new,761,Grid-50,,bklm16,0.2,
results/trimmed/Grid/Ratio_50/50-18-4.dne,new,43,Grid-50,11.946,cd06,2.7,0
results/trimmed/Grid/Ratio_50/50-10-7.dne,new,14,Grid-50,11.208,sbk05,1.55,0
results/trimmed/Grid/Ratio_50/50-20-5.dne,new,26,Grid-50,312.284,cw,0.26,0.430762
results/trimmed/Grid/Ratio_50/50-15-10.dne,old,,Grid-50,48.4,bklm16,10.68,0.4593284
results/trimmed/Grid/Ratio_50/50-16-3.dne,new,40,Grid-50,11.842,cd06,1.96,0
results/trimmed/Grid/Ratio_50/50-14-7.dne,old,,Grid-50,3.31,d02,22.27,0.43461956893458686
results/trimmed/Grid/Ratio_50/50-18-6.dne,old,,Grid-50,313.44,bklm16,21.83,
results/trimmed/Grid/Ratio_50/50-18-2.dne,new,23,Grid-50,11.283,sbk05,2.06,0
results/trimmed/Grid/Ratio_50/50-19-3.dne,new,21,Grid-50,11.781,d02,2.06,0
results/trimmed/Grid/Ratio_50/50-18-3.dne,old,,Grid-50,3.92,cd06,18.29,0.7186449505592201
results/trimmed/Grid/Ratio_50/50-14-5.dne,new,19,Grid-50,11.36,sbk05,1.68,0
results/trimmed/Grid/Ratio_50/50-15-10.dne,new,19,Grid-50,11.439,sbk05,3.76,0
results/trimmed/Grid/Ratio_50/50-12-3.dne,new,28,Grid-50,11.322,cd06,1.62,0
results/trimmed/Grid/Ratio_50/50-20-2.dne,old,,Grid-50,0.17,bklm16,1600.89,
results/trimmed/Grid/Ratio_50/50-20-5.dne,old,,Grid-50,343.6,bklm16,380.19,
results/trimmed/Grid/Ratio_50/50-10-9.dne,new,13,Grid-50,11.267,cw,0.15,0.479913
results/trimmed/Grid/Ratio_50/50-18-4.dne,old,,Grid-50,15.09,d02,1307.93,0.18612351885483452
results/trimmed/Grid/Ratio_50/50-20-3.dne,new,24,Grid-50,11.556,sbk05,1.97,0
results/trimmed/Grid/Ratio_50/50-12-3.dne,new,,Grid-50,,cd05,1.89,
results/trimmed/Grid/Ratio_50/50-15-9.dne,new,19,Grid-50,11.42,sbk05,1.18,0
results/trimmed/Grid/Ratio_50/50-14-6.dne,new,40,Grid-50,13.641,cd05,1.66,0
results/trimmed/Grid/Ratio_50/50-18-3.dne,new,51,Grid-50,13.838,cd05,2.3,0
results/trimmed/Grid/Ratio_50/50-12-8.dne,new,32,Grid-50,11.347,cd06,1.66,0
results/trimmed/Grid/Ratio_50/50-15-9.dne,old,,Grid-50,280.83,bklm16,15.62,
results/trimmed/Grid/Ratio_50/50-14-7.dne,new,19,Grid-50,11.333,d02,1.71,0
results/trimmed/Grid/Ratio_50/50-20-3.dne,old,,Grid-50,1183.6,sbk05,3.33,
results/trimmed/Grid/Ratio_50/50-12-8.dne,new,32,Grid-50,12.562,cd05,1.74,0
results/trimmed/Grid/Ratio_50/50-18-4.dne,old,,Grid-50,23.01,cd06,196.27,0.18612351885483452
results/trimmed/Grid/Ratio_50/50-10-10.dne,new,14,Grid-50,11.261,d02,1.93,0
results/trimmed/Grid/Ratio_50/50-14-1.dne,old,,Grid-50,1199.27,sbk05,1.56,
results/trimmed/Grid/Ratio_50/50-19-8.dne,new,26,Grid-50,124.543,cw,0.24,0.210849
results/trimmed/Grid/Ratio_50/50-12-4.dne,new,14,Grid-50,13.733,cw,0.16,0.605223
results/trimmed/Grid/Ratio_50/50-20-5.dne,new,1401,Grid-50,,bklm16,0.22,
results/trimmed/Grid/Ratio_50/50-14-7.dne,new,681,Grid-50,,bklm16,0.19,
results/trimmed/Grid/Ratio_50/50-18-4.dne,new,23,Grid-50,11.699,d02,2.66,0
results/trimmed/Grid/Ratio_50/50-18-6.dne,new,40,Grid-50,11.842,cd06,2.54,0
results/trimmed/Grid/Ratio_50/50-12-8.dne,old,,Grid-50,33.14,bklm16,5.77,0.2487984
results/trimmed/Grid/Ratio_50/50-20-2.dne,new,25,Grid-50,286.067,cw,0.26,0.334656
results/trimmed/Grid/Ratio_50/50-19-8.dne,old,,Grid-50,1367.5,sbk05,2.91,
results/trimmed/Grid/Ratio_50/50-12-3.dne,old,,Grid-50,7.96,bklm16,4.04,0.370572
results/trimmed/Grid/Ratio_50/50-18-4.dne,new,23,Grid-50,11.39,sbk05,1.95,0
results/trimmed/Grid/Ratio_50/50-16-3.dne,old,,Grid-50,80.69,bklm16,14.75,0.3024644
results/trimmed/Grid/Ratio_50/50-14-7.dne,old,,Grid-50,3.63,cd05,10.27,0.43461956893458675
results/trimmed/Grid/Ratio_50/50-15-5.dne,old,,Grid-50,1121.73,sbk05,2.29,
results/trimmed/Grid/Ratio_50/50-15-5.dne,new,19,Grid-50,11.379,d02,1.92,0
results/trimmed/Grid/Ratio_50/50-20-2.dne,new,1285,Grid-50,,bklm16,0.22,
results/trimmed/Grid/Ratio_50/50-20-3.dne,new,56,Grid-50,11.784,cd05,2.45,0
results/trimmed/Grid/Ratio_50/50-20-5.dne,new,24,Grid-50,11.913,sbk05,2.52,0
results/trimmed/Grid/Ratio_50/50-20-2.dne,old,,Grid-50,54.52,cd05,538.46,0.3346558912235545
results/trimmed/Grid/Ratio_50/50-10-7.dne,old,,Grid-50,1.58,d02,2.96,0.4747135861002805
results/trimmed/Grid/Ratio_50/50-16-3.dne,new,39,Grid-50,12.569,cd05,2.25,0
results/trimmed/Grid/Ratio_50/50-14-5.dne,old,,Grid-50,3.11,cd06,10.6,0.6224305710996485
results/trimmed/Grid/Ratio_50/50-14-1.dne,old,,Grid-50,2.84,cd05,8.39,0.30623792608300204
results/trimmed/Grid/Ratio_50/50-10-7.dne,new,25,Grid-50,11.287,cd06,1.65,0
results/trimmed/Grid/Ratio_50/50-14-7.dne,new,40,Grid-50,13.807,cd05,1.89,0
results/trimmed/Grid/Ratio_50/50-14-1.dne,old,,Grid-50,7.86,d02,85.77,0.3062379260830019
results/trimmed/Grid/Ratio_50/50-14-1.dne,old,,Grid-50,152.26,bklm16,17.18,0.3062388
results/trimmed/Grid/Ratio_50/50-12-3.dne,new,16,Grid-50,11.196,sbk05,1.64,0
results/trimmed/Grid/Ratio_50/50-18-2.dne,old,,Grid-50,23.59,d02,1468.2,0.8697250254567812
results/trimmed/Grid/Ratio_50/50-18-3.dne,new,23,Grid-50,11.696,d02,2.08,0
results/trimmed/Grid/Ratio_50/50-15-10.dne,old,,Grid-50,5.1,d02,51.51,0.4593253198128586
results/trimmed/Grid/Ratio_50/50-15-9.dne,new,715,Grid-50,,bklm16,0.21,
results/trimmed/Grid/Ratio_50/50-12-8.dne,old,,Grid-50,2.29,cd05,4.37,0.24879898335697642
results/trimmed/Grid/Ratio_50/50-14-6.dne,new,33,Grid-50,11.426,cd06,1.74,0
results/trimmed/Grid/Ratio_50/50-12-3.dne,new,14,Grid-50,13.626,cw,0.16,0.370571
results/trimmed/Grid/Ratio_50/50-18-4.dne,old,,Grid-50,44.46,cd05,570.05,0.18612351885483458
results/trimmed/Grid/Ratio_50/50-15-5.dne,new,21,Grid-50,16.416,cw,0.19,0.704072
results/trimmed/Grid/Ratio_50/50-14-6.dne,old,,Grid-50,3.13,cd06,13.58,0.3484375119170531
results/trimmed/Grid/Ratio_50/50-20-2.dne,new,24,Grid-50,11.872,d02,2.37,0
results/trimmed/Grid/Ratio_50/50-12-4.dne,old,,Grid-50,1.81,cd06,3.31,0.6052231705236965
results/trimmed/Grid/Ratio_50/50-10-7.dne,old,,Grid-50,1.52,cd06,1.91,0.4747135861002805
results/trimmed/Grid/Ratio_50/50-12-3.dne,old,,Grid-50,2.0,d02,5.47,0.3705716163706333
results/trimmed/Grid/Ratio_50/50-14-1.dne,new,32,Grid-50,11.528,cd06,1.73,0
results/trimmed/Grid/Ratio_50/50-15-5.dne,old,,Grid-50,5.67,cd05,35.83,0.7040722087762586
results/trimmed/Grid/Ratio_50/50-14-7.dne,new,17,Grid-50,13.247,cw,0.19,0.434619
results/trimmed/Grid/Ratio_50/50-20-3.dne,old,,Grid-50,1.07,d02,1656.92,
results/trimmed/Grid/Ratio_50/50-20-2.dne,old,,Grid-50,1517.76,sbk05,2.36,
results/trimmed/Grid/Ratio_50/50-10-7.dne,new,14,Grid-50,11.366,d02,1.56,0
results/trimmed/Grid/Ratio_50/50-14-1.dne,new,19,Grid-50,11.286,sbk05,1.69,0
results/trimmed/Grid/Ratio_50/50-16-3.dne,old,,Grid-50,5.89,d02,1016.09,0.3024648408701365
results/trimmed/Grid/Ratio_50/50-14-7.dne,old,,Grid-50,2.34,cd06,4.95,0.43461956893458675
results/trimmed/Grid/Ratio_50/50-10-7.dne,old,,Grid-50,1389.43,sbk05,1.7,
results/trimmed/Grid/Ratio_50/50-12-4.dne,new,16,Grid-50,11.483,sbk05,1.52,0
results/trimmed/Grid/Ratio_50/50-15-9.dne,old,,Grid-50,17.67,d02,181.92,0.2168354746214625
results/trimmed/Grid/Ratio_50/50-12-3.dne,old,,Grid-50,1.79,cd05,3.62,0.37057161637063335
results/trimmed/Grid/Ratio_50/50-16-3.dne,old,,Grid-50,10.9,cd05,109.57,0.30246484087013636
results/trimmed/Grid/Ratio_50/50-14-6.dne,old,,Grid-50,6.44,bklm16,3.47,0.3484381
results/trimmed/Grid/Ratio_50/50-20-3.dne,old,,Grid-50,1.37,cd06,1197.41,
results/trimmed/Grid/Ratio_50/50-20-3.dne,new,26,Grid-50,275.603,cw,0.28,0.920175
results/trimmed/Grid/Ratio_50/50-14-6.dne,new,20,Grid-50,11.379,d02,1.71,0
results/trimmed/Grid/Ratio_50/50-12-3.dne,old,,Grid-50,1106.68,sbk05,1.6,
results/trimmed/Grid/Ratio_50/50-18-3.dne,old,,Grid-50,16.17,cd05,136.86,0.7186449505592201
results/trimmed/Grid/Ratio_50/50-10-10.dne,new,26,Grid-50,11.413,cd06,1.61,0
results/trimmed/Grid/Ratio_50/50-12-8.dne,new,16,Grid-50,14.095,d02,1.64,0
results/trimmed/Grid/Ratio_50/50-18-6.dne,new,23,Grid-50,11.69,d02,2.02,0
results/trimmed/Grid/Ratio_50/50-15-5.dne,old,,Grid-50,8.61,d02,76.18,0.7040722087762589
results/trimmed/Grid/Ratio_50/50-20-2.dne,new,24,Grid-50,11.462,sbk05,2.0,0
results/trimmed/Grid/Ratio_50/50-10-10.dne,new,13,Grid-50,11.234,cw,0.16,0.914701
results/trimmed/Grid/Ratio_50/50-20-2.dne,new,52,Grid-50,13.954,cd05,2.27,0
results/trimmed/Grid/Ratio_50/50-18-4.dne,old,,Grid-50,300.15,bklm16,68.15,
results/trimmed/Grid/Ratio_50/50-18-2.dne,old,,Grid-50,80.36,cd05,910.67,
results/trimmed/Grid/Ratio_50/50-10-10.dne,new,14,Grid-50,11.25,sbk05,1.73,0
results/trimmed/Grid/Ratio_50/50-15-10.dne,old,,Grid-50,1260.07,sbk05,1.78,
results/trimmed/Grid/Ratio_50/50-10-7.dne,new,13,Grid-50,11.674,cw,0.16,0.474714
results/trimmed/Grid/Ratio_50/50-19-8.dne,old,,Grid-50,295.06,bklm16,65.56,
results/trimmed/Grid/Ratio_50/50-19-8.dne,new,56,Grid-50,13.529,cd05,2.14,0
